data_hora,demanda,demanda_diff
2011-01-02,801,-184.0
2011-01-03,1349,548.0
2011-01-04,1562,213.0
2011-01-05,1600,38.0
2011-01-06,1606,6.0
2011-01-07,1510,-96.0
2011-01-08,959,-551.0
2011-01-09,822,-137.0
2011-01-10,1321,499.0
2011-01-11,1263,-58.0
2011-01-12,1162,-101.0
2011-01-13,1406,244.0
2011-01-14,1421,15.0
2011-01-15,1248,-173.0
2011-01-16,1204,-44.0
2011-01-17,1000,-204.0
2011-01-18,683,-317.0
2011-01-19,1650,967.0
2011-02-01,1360,-290.0
2011-02-02,1526,166.0
2011-02-03,1550,24.0
2011-02-04,1708,158.0
2011-02-05,1005,-703.0
2011-02-06,1623,618.0
2011-02-07,1712,89.0
2011-02-08,1530,-182.0
2011-02-09,1605,75.0
2011-02-10,1538,-67.0
2011-02-11,1746,208.0
2011-02-12,1472,-274.0
2011-02-13,1589,117.0
2011-02-14,1913,324.0
2011-02-15,1815,-98.0
2011-02-16,2115,300.0
2011-02-17,2475,360.0
2011-02-18,2927,452.0
2011-02-19,1635,-1292.0
2011-03-01,1851,216.0
2011-03-02,2134,283.0
2011-03-03,1685,-449.0
2011-03-04,1944,259.0
2011-03-05,2077,133.0
2011-03-06,605,-1472.0
2011-03-07,1872,1267.0
2011-03-08,2133,261.0
2011-03-09,1891,-242.0
2011-03-10,623,-1268.0
2011-03-11,1977,1354.0
2011-03-12,2132,155.0
2011-03-13,2417,285.0
2011-03-14,2046,-371.0
2011-03-15,2056,10.0
2011-03-16,2192,136.0
2011-03-17,2744,552.0
2011-03-18,3239,495.0
2011-03-19,3117,-122.0
2011-04-01,2227,-890.0
2011-04-02,2252,25.0
2011-04-03,3249,997.0
2011-04-04,3115,-134.0
2011-04-05,1795,-1320.0
2011-04-06,2808,1013.0
2011-04-07,3141,333.0
2011-04-08,1471,-1670.0
2011-04-09,2455,984.0
2011-04-10,2895,440.0
2011-04-11,3348,453.0
2011-04-12,2034,-1314.0
2011-04-13,2162,128.0
2011-04-14,3267,1105.0
2011-04-15,3126,-141.0
2011-04-16,795,-2331.0
2011-04-17,3744,2949.0
2011-04-18,3429,-315.0
2011-04-19,3204,-225.0
2011-05-01,3351,147.0
2011-05-02,4401,1050.0
2011-05-03,4451,50.0
2011-05-04,2633,-1818.0
2011-05-05,4433,1800.0
2011-05-06,4608,175.0
2011-05-07,4714,106.0
2011-05-08,4333,-381.0
2011-05-09,4362,29.0
2011-05-10,4803,441.0
2011-05-11,4182,-621.0
2011-05-12,4864,682.0
2011-05-13,4105,-759.0
2011-05-14,3409,-696.0
2011-05-15,4553,1144.0
2011-05-16,3958,-595.0
2011-05-17,4123,165.0
2011-05-18,3855,-268.0
2011-05-19,4575,720.0
2011-06-01,3974,-601.0
2011-06-02,4968,994.0
2011-06-03,5312,344.0
2011-06-04,5342,30.0
2011-06-05,4906,-436.0
2011-06-06,4548,-358.0
2011-06-07,4833,285.0
2011-06-08,4401,-432.0
2011-06-09,3915,-486.0
2011-06-10,4586,671.0
2011-06-11,4966,380.0
2011-06-12,4460,-506.0
2011-06-13,5020,560.0
2011-06-14,4891,-129.0
2011-06-15,5180,289.0
2011-06-16,3767,-1413.0
2011-06-17,4844,1077.0
2011-06-18,5119,275.0
2011-06-19,4744,-375.0
2011-07-01,5362,618.0
2011-07-02,5119,-243.0
2011-07-03,4649,-470.0
2011-07-04,6043,1394.0
2011-07-05,4665,-1378.0
2011-07-06,4629,-36.0
2011-07-07,4592,-37.0
2011-07-08,4040,-552.0
2011-07-09,5336,1296.0
2011-07-10,4881,-455.0
2011-07-11,4086,-795.0
2011-07-12,4258,172.0
2011-07-13,4342,84.0
2011-07-14,5084,742.0
2011-07-15,5538,454.0
2011-07-16,5923,385.0
2011-07-17,5302,-621.0
2011-07-18,4458,-844.0
2011-07-19,4541,83.0
2011-08-01,4266,-275.0
2011-08-02,4845,579.0
2011-08-03,3574,-1271.0
2011-08-04,4576,1002.0
2011-08-05,4866,290.0
2011-08-06,4294,-572.0
2011-08-07,3785,-509.0
2011-08-08,4326,541.0
2011-08-09,4602,276.0
2011-08-10,4780,178.0
2011-08-11,4792,12.0
2011-08-12,4905,113.0
2011-08-13,4150,-755.0
2011-08-14,3820,-330.0
2011-08-15,4338,518.0
2011-08-16,4725,387.0
2011-08-17,4694,-31.0
2011-08-18,3805,-889.0
2011-08-19,4153,348.0
2011-09-01,5115,962.0
2011-09-02,4727,-388.0
2011-09-03,4484,-243.0
2011-09-04,4940,456.0
2011-09-05,3351,-1589.0
2011-09-06,2710,-641.0
2011-09-07,1996,-714.0
2011-09-08,1842,-154.0
2011-09-09,3544,1702.0
2011-09-10,5345,1801.0
2011-09-11,5046,-299.0
2011-09-12,4713,-333.0
2011-09-13,4763,50.0
2011-09-14,4785,22.0
2011-09-15,3659,-1126.0
2011-09-16,4760,1101.0
2011-09-17,4511,-249.0
2011-09-18,4274,-237.0
2011-09-19,4539,265.0
2011-10-01,2429,-2110.0
2011-10-02,2918,489.0
2011-10-03,3570,652.0
2011-10-04,4456,886.0
2011-10-05,4826,370.0
2011-10-06,4765,-61.0
2011-10-07,4985,220.0
2011-10-08,5409,424.0
2011-10-09,5511,102.0
2011-10-10,5117,-394.0
2011-10-11,4563,-554.0
2011-10-12,2416,-2147.0
2011-10-13,2913,497.0
2011-10-14,3644,731.0
2011-10-15,5217,1573.0
2011-10-16,5041,-176.0
2011-10-17,4570,-471.0
2011-10-18,4748,178.0
2011-10-19,2424,-2324.0
2011-11-01,4068,1644.0
2011-11-02,4186,118.0
2011-11-03,3974,-212.0
2011-11-04,4046,72.0
2011-11-05,3926,-120.0
2011-11-06,3649,-277.0
2011-11-07,4035,386.0
2011-11-08,4205,170.0
2011-11-09,4109,-96.0
2011-11-10,2933,-1176.0
2011-11-11,3368,435.0
2011-11-12,4067,699.0
2011-11-13,3717,-350.0
2011-11-14,4486,769.0
2011-11-15,4195,-291.0
2011-11-16,1817,-2378.0
2011-11-17,3053,1236.0
2011-11-18,3392,339.0
2011-11-19,3663,271.0
2011-12-01,3727,64.0
2011-12-02,3940,213.0
2011-12-03,3614,-326.0
2011-12-04,3485,-129.0
2011-12-05,3811,326.0
2011-12-06,2594,-1217.0
2011-12-07,705,-1889.0
2011-12-08,3322,2617.0
2011-12-09,3620,298.0
2011-12-10,3190,-430.0
2011-12-11,2743,-447.0
2011-12-12,3310,567.0
2011-12-13,3523,213.0
2011-12-14,3740,217.0
2011-12-15,3709,-31.0
2011-12-16,3577,-132.0
2011-12-17,2739,-838.0
2011-12-18,2431,-308.0
2011-12-19,3403,972.0
2012-01-01,2294,-1109.0
2012-01-02,1951,-343.0
2012-01-03,2236,285.0
2012-01-04,2368,132.0
2012-01-05,3272,904.0
2012-01-06,4098,826.0
2012-01-07,4521,423.0
2012-01-08,3425,-1096.0
2012-01-09,2376,-1049.0
2012-01-10,3598,1222.0
2012-01-11,2177,-1421.0
2012-01-12,4097,1920.0
2012-01-13,3214,-883.0
2012-01-14,2493,-721.0
2012-01-15,2311,-182.0
2012-01-16,2298,-13.0
2012-01-17,2935,637.0
2012-01-18,3376,441.0
2012-01-19,3292,-84.0
2012-02-01,4579,1287.0
2012-02-02,3761,-818.0
2012-02-03,4151,390.0
2012-02-04,2832,-1319.0
2012-02-05,2947,115.0
2012-02-06,3784,837.0
2012-02-07,4375,591.0
2012-02-08,2802,-1573.0
2012-02-09,3830,1028.0
2012-02-10,3831,1.0
2012-02-11,2169,-1662.0
2012-02-12,1529,-640.0
2012-02-13,3422,1893.0
2012-02-14,3922,500.0
2012-02-15,4169,247.0
2012-02-16,3005,-1164.0
2012-02-17,4154,1149.0
2012-02-18,4318,164.0
2012-02-19,2689,-1629.0
2012-03-01,4990,2301.0
2012-03-02,3194,-1796.0
2012-03-03,4066,872.0
2012-03-04,3423,-643.0
2012-03-05,3333,-90.0
2012-03-06,3956,623.0
2012-03-07,4916,960.0
2012-03-08,5382,466.0
2012-03-09,4569,-813.0
2012-03-10,4118,-451.0
2012-03-11,4911,793.0
2012-03-12,5298,387.0
2012-03-13,5847,549.0
2012-03-14,6312,465.0
2012-03-15,6192,-120.0
2012-03-16,4378,-1814.0
2012-03-17,7836,3458.0
2012-03-18,5892,-1944.0
2012-03-19,6153,261.0
2012-04-01,6041,-112.0
2012-04-02,5936,-105.0
2012-04-03,6772,836.0
2012-04-04,6436,-336.0
2012-04-05,6457,21.0
2012-04-06,6460,3.0
2012-04-07,6857,397.0
2012-04-08,5169,-1688.0
2012-04-09,5585,416.0
2012-04-10,5918,333.0
2012-04-11,4862,-1056.0
2012-04-12,5409,547.0
2012-04-13,6398,989.0
2012-04-14,7460,1062.0
2012-04-15,7132,-328.0
2012-04-16,6370,-762.0
2012-04-17,6691,321.0
2012-04-18,4367,-2324.0
2012-04-19,6565,2198.0
2012-05-01,5740,-825.0
2012-05-02,6169,429.0
2012-05-03,6421,252.0
2012-05-04,6296,-125.0
2012-05-05,6883,587.0
2012-05-06,6359,-524.0
2012-05-07,6273,-86.0
2012-05-08,5728,-545.0
2012-05-09,4717,-1011.0
2012-05-10,6572,1855.0
2012-05-11,7030,458.0
2012-05-12,7429,399.0
2012-05-13,6118,-1311.0
2012-05-14,2843,-3275.0
2012-05-15,5115,2272.0
2012-05-16,7424,2309.0
2012-05-17,7384,-40.0
2012-05-18,7639,255.0
2012-05-19,8294,655.0
2012-06-01,4127,-4167.0
2012-06-02,8120,3993.0
2012-06-03,7641,-479.0
2012-06-04,6998,-643.0
2012-06-05,7001,3.0
2012-06-06,7055,54.0
2012-06-07,7494,439.0
2012-06-08,7736,242.0
2012-06-09,7498,-238.0
2012-06-10,6598,-900.0
2012-06-11,6664,66.0
2012-06-12,4972,-1692.0
2012-06-13,7421,2449.0
2012-06-14,7363,-58.0
2012-06-15,7665,302.0
2012-06-16,7702,37.0
2012-06-17,6978,-724.0
2012-06-18,5099,-1879.0
2012-06-19,6825,1726.0
2012-07-01,5531,-1294.0
2012-07-02,6227,696.0
2012-07-03,6660,433.0
2012-07-04,7403,743.0
2012-07-05,6241,-1162.0
2012-07-06,6207,-34.0
2012-07-07,4840,-1367.0
2012-07-08,4672,-168.0
2012-07-09,6569,1897.0
2012-07-10,6290,-279.0
2012-07-11,7264,974.0
2012-07-12,7446,182.0
2012-07-13,7499,53.0
2012-07-14,6969,-530.0
2012-07-15,6031,-938.0
2012-07-16,6830,799.0
2012-07-17,6786,-44.0
2012-07-18,5713,-1073.0
2012-07-19,6591,878.0
2012-08-01,7580,989.0
2012-08-02,7261,-319.0
2012-08-03,7175,-86.0
2012-08-04,6824,-351.0
2012-08-05,5464,-1360.0
2012-08-06,7013,1549.0
2012-08-07,7273,260.0
2012-08-08,7534,261.0
2012-08-09,7286,-248.0
2012-08-10,5786,-1500.0
2012-08-11,6299,513.0
2012-08-12,6544,245.0
2012-08-13,6883,339.0
2012-08-14,6784,-99.0
2012-08-15,7347,563.0
2012-08-16,7605,258.0
2012-08-17,7148,-457.0
2012-08-18,7865,717.0
2012-08-19,4549,-3316.0
2012-09-01,6140,1591.0
2012-09-02,5810,-330.0
2012-09-03,6034,224.0
2012-09-04,6864,830.0
2012-09-05,7112,248.0
2012-09-06,6203,-909.0
2012-09-07,7504,1301.0
2012-09-08,5976,-1528.0
2012-09-09,8227,2251.0
2012-09-10,7525,-702.0
2012-09-11,7767,242.0
2012-09-12,7870,103.0
2012-09-13,7804,-66.0
2012-09-14,8009,205.0
2012-09-15,8714,705.0
2012-09-16,7333,-1381.0
2012-09-17,6869,-464.0
2012-09-18,4073,-2796.0
2012-09-19,7591,3518.0
2012-10-01,6778,-813.0
2012-10-02,4639,-2139.0
2012-10-03,7572,2933.0
2012-10-04,7328,-244.0
2012-10-05,8156,828.0
2012-10-06,7965,-191.0
2012-10-07,3510,-4455.0
2012-10-08,5478,1968.0
2012-10-09,6392,914.0
2012-10-10,7691,1299.0
2012-10-11,7570,-121.0
2012-10-12,7282,-288.0
2012-10-13,7109,-173.0
2012-10-14,6639,-470.0
2012-10-15,5875,-764.0
2012-10-16,7534,1659.0
2012-10-17,7461,-73.0
2012-10-18,7509,48.0
2012-10-19,5424,-2085.0
2012-11-01,5986,562.0
2012-11-02,5847,-139.0
2012-11-03,5138,-709.0
2012-11-04,5107,-31.0
2012-11-05,5259,152.0
2012-11-06,5686,427.0
2012-11-07,5035,-651.0
2012-11-08,5315,280.0
2012-11-09,5992,677.0
2012-11-10,6536,544.0
2012-11-11,6852,316.0
2012-11-12,6269,-583.0
2012-11-13,4094,-2175.0
2012-11-14,5495,1401.0
2012-11-15,5445,-50.0
2012-11-16,5698,253.0
2012-11-17,5629,-69.0
2012-11-18,4669,-960.0
2012-11-19,5499,830.0
2012-12-01,5191,-308.0
2012-12-02,4649,-542.0
2012-12-03,6234,1585.0
2012-12-04,6606,372.0
2012-12-05,5729,-877.0
2012-12-06,5375,-354.0
2012-12-07,5008,-367.0
2012-12-08,5582,574.0
2012-12-09,3228,-2354.0
2012-12-10,5170,1942.0
2012-12-11,5501,331.0
2012-12-12,5319,-182.0
2012-12-13,5532,213.0
2012-12-14,5611,79.0
2012-12-15,5047,-564.0
2012-12-16,3786,-1261.0
2012-12-17,4585,799.0
2012-12-18,5557,972.0
2012-12-19,5267,-290.0
